season,game_id,game_date,official_date,status,detailed_state,away_team,home_team,away_score,home_score,winner,home_win,away_probable_pitcher,home_probable_pitcher
2023,718089,2023-05-21T17:35:00Z,2023-05-21,Final,Final,Detroit Tigers,Washington Nationals,4,6,Washington Nationals,1,Joey Wentz,Josiah Gray
2023,718091,2023-05-21T17:35:00Z,2023-05-21,Final,Final,Arizona Diamondbacks,Pittsburgh Pirates,8,3,Arizona Diamondbacks,0,Merrill Kelly,Roansy Contreras
2023,718088,2023-05-21T17:35:00Z,2023-05-21,Final,Final,Chicago Cubs,Philadelphia Phillies,1,2,Philadelphia Phillies,1,Justin Steele,Taijuan Walker
2023,718090,2023-05-21T17:35:00Z,2023-05-21,Final,Final,Seattle Mariners,Atlanta Braves,2,3,Atlanta Braves,1,George Kirby,Jared Shuster
2023,718087,2023-05-21T17:37:00Z,2023-05-21,Final,Final,Baltimore Orioles,Toronto Blue Jays,8,3,Baltimore Orioles,0,Dean Kremer,Kevin Gausman
2023,718099,2023-05-21T17:40:00Z,2023-05-21,Final,Final,Cleveland Guardians,New York Mets,4,5,New York Mets,1,Tanner Bibee,Max Scherzer
2023,718082,2023-05-21T23:10:00Z,2023-05-21,Final,Final,Cleveland Guardians,New York Mets,1,2,New York Mets,1,Shane Bieber,Justin Verlander
2023,718081,2023-05-21T17:40:00Z,2023-05-21,Final,Final,Milwaukee Brewers,Tampa Bay Rays,6,4,Milwaukee Brewers,0,Freddy Peralta,Jalen Beeks
2023,718086,2023-05-21T18:10:00Z,2023-05-21,Final,Final,Oakland Athletics,Houston Astros,0,2,Houston Astros,1,James Kaprielian,Framber Valdez
2023,718084,2023-05-21T18:10:00Z,2023-05-21,Final,Final,Kansas City Royals,Chicago White Sox,2,5,Chicago White Sox,1,Carlos Hernández,Lance Lynn
2023,718083,2023-05-21T18:15:00Z,2023-05-21,Final,Final,Los Angeles Dodgers,St. Louis Cardinals,5,10,St. Louis Cardinals,1,Clayton Kershaw,Jack Flaherty
2023,718076,2023-05-21T18:35:00Z,2023-05-21,Final,Final,Colorado Rockies,Texas Rangers,3,13,Texas Rangers,1,Connor Seabold,Andrew Heaney
2023,718078,2023-05-21T20:05:00Z,2023-05-21,Final,Final,Miami Marlins,San Francisco Giants,5,7,San Francisco Giants,1,Jesús Luzardo,Alex Wood
2023,718080,2023-05-21T20:07:00Z,2023-05-21,Final,Final,Minnesota Twins,Los Angeles Angels,2,4,Los Angeles Angels,1,Pablo López,Shohei Ohtani
2023,718079,2023-05-21T20:10:00Z,2023-05-21,Final,Final,Boston Red Sox,San Diego Padres,0,7,San Diego Padres,1,Corey Kluber,Michael Wacha
2023,718072,2023-05-22T22:10:00Z,2023-05-22,Final,Final,Chicago White Sox,Cleveland Guardians,0,3,Cleveland Guardians,1,Jimmy Lambert,Hunter Gaddis
2023,718075,2023-05-22T22:35:00Z,2023-05-22,Final,Final,Texas Rangers,Pittsburgh Pirates,4,6,Pittsburgh Pirates,1,Dane Dunning,Luis Ortiz
