game_id,game_date,season,home_team,away_team,home_starting_pitcher_id,away_starting_pitcher_id,home_starting_pitcher_name,away_starting_pitcher_name,home_pitcher_games_started_before,away_pitcher_games_started_before,home_pitcher_rest_days,away_pitcher_rest_days,home_pitcher_runs_allowed_last_3,away_pitcher_runs_allowed_last_3,home_pitcher_runs_allowed_last_10,away_pitcher_runs_allowed_last_10,home_pitcher_avg_runs_allowed_last_3,away_pitcher_avg_runs_allowed_last_3,home_pitcher_avg_runs_allowed_last_10,away_pitcher_avg_runs_allowed_last_10,home_pitcher_team_win_rate_started_before,away_pitcher_team_win_rate_started_before,home_pitcher_status,away_pitcher_status,pitcher_data_quality,pitcher_warnings
718079,2023-05-21T20:10:00Z,2023,San Diego Padres,Boston Red Sox,608379,446372,Michael Wacha,Corey Kluber,8,8,5,7,3,18,27,57,1.0,6.0,3.375,7.125,0.75,0.375,confirmed,confirmed,medium,
718082,2023-05-21T23:10:00Z,2023,New York Mets,Cleveland Guardians,434378,669456,Justin Verlander,Shane Bieber,3,9,5,4,11,12,11,36,3.6667,4.0,3.6667,4.0,0.3333,0.3333,confirmed,confirmed,medium,
718072,2023-05-22T22:10:00Z,2023,Cleveland Guardians,Chicago White Sox,683769,669424,Hunter Gaddis,Jimmy Lambert,4,0,34,,19,,23,,6.3333,,5.75,,0.5,,confirmed,confirmed,low,Away starting pitcher has limited prior start history. | Away starting pitcher has no prior starts in the current season.
718075,2023-05-22T22:35:00Z,2023,Pittsburgh Pirates,Texas Rangers,682847,641540,Luis Ortiz,Dane Dunning,2,3,6,5,14,12,14,12,7.0,4.0,7.0,4.0,0.0,0.6667,confirmed,confirmed,low,Home starting pitcher has limited prior start history.
718071,2023-05-22T22:40:00Z,2023,Cincinnati Reds,St. Louis Cardinals,682227,656756,Brandon Williamson,Jordan Montgomery,1,9,5,6,1,18,1,40,1.0,6.0,1.0,4.4444,1.0,0.2222,confirmed,confirmed,low,Home starting pitcher has limited prior start history.
718073,2023-05-22T22:40:00Z,2023,Philadelphia Phillies,Arizona Diamondbacks,554430,674072,Zack Wheeler,Tommy Henry,9,5,5,5,10,22,39,30,3.3333,7.3333,4.3333,6.0,0.5556,0.6,confirmed,confirmed,medium,
718077,2023-05-22T22:40:00Z,2023,Tampa Bay Rays,Toronto Blue Jays,665001,605135,Trevor Kelley,Chris Bassitt,1,9,10,5,6,0,6,29,6.0,0.0,6.0,3.2222,0.0,0.6667,confirmed,confirmed,low,Home starting pitcher has limited prior start history.
718074,2023-05-22T23:20:00Z,2023,Atlanta Braves,Los Angeles Dodgers,450203,694813,Charlie Morton,Gavin Stone,8,1,6,19,8,6,24,6,2.6667,6.0,3.0,6.0,0.625,1.0,confirmed,confirmed,low,Away starting pitcher has limited prior start history.
718066,2023-05-22T23:40:00Z,2023,Kansas City Royals,Detroit Tigers,663903,547179,Brady Singer,Michael Lorenzen,9,6,5,6,12,3,56,17,4.0,1.0,6.2222,2.8333,0.5556,0.5,confirmed,confirmed,medium,
718067,2023-05-22T23:40:00Z,2023,Minnesota Twins,San Francisco Giants,641927,605154,Bailey Ober,John Brebbia,5,2,5,9,4,11,8,11,1.3333,5.5,1.6,5.5,0.8,0.5,confirmed,confirmed,low,Away starting pitcher has limited prior start history.
718068,2023-05-22T23:40:00Z,2023,Milwaukee Brewers,Houston Astros,669203,664299,Corbin Burnes,Cristian Javier,9,9,5,5,10,11,41,33,3.3333,3.6667,4.5556,3.6667,0.5556,0.7778,confirmed,confirmed,medium,
718069,2023-05-23T00:40:00Z,2023,Colorado Rockies,Miami Marlins,502624,665795,Chase Anderson,Edward Cabrera,1,9,6,6,3,11,3,47,3.0,3.6667,3.0,5.2222,0.0,0.5556,confirmed,confirmed,low,Home starting pitcher has limited prior start history.
718070,2023-05-23T01:38:00Z,2023,Los Angeles Angels,Boston Red Sox,642545,656557,Jaime Barria,Tanner Houck,0,8,,8,,22,,46,,7.3333,,5.75,,0.625,confirmed,confirmed,low,Home starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season.
718062,2023-05-23T01:40:00Z,2023,Seattle Mariners,Oakland Athletics,622491,666205,Luis Castillo,Kyle Muller,9,9,7,6,19,27,31,64,6.3333,9.0,3.4444,7.1111,0.4444,0.3333,confirmed,confirmed,medium,
718063,2023-05-23T22:10:00Z,2023,Cleveland Guardians,Chicago White Sox,671106,656302,Logan Allen,Dylan Cease,5,10,5,5,9,16,20,54,3.0,5.3333,4.0,5.4,0.6,0.5,confirmed,confirmed,medium,
718065,2023-05-23T22:35:00Z,2023,Pittsburgh Pirates,Texas Rangers,448179,543135,Rich Hill,Nathan Eovaldi,9,9,6,5,8,7,37,31,2.6667,2.3333,4.1111,3.4444,0.5556,0.5556,confirmed,confirmed,medium,
718059,2023-05-23T22:40:00Z,2023,Cincinnati Reds,St. Louis Cardinals,668933,425794,Graham Ashcraft,Adam Wainwright,9,3,6,5,32,20,46,20,10.6667,6.6667,5.1111,6.6667,0.5556,0.6667,confirmed,confirmed,medium,
718060,2023-05-23T22:40:00Z,2023,Philadelphia Phillies,Arizona Diamondbacks,621381,669194,Matt Strahm,Ryne Nelson,6,9,20,6,18,17,35,55,6.0,5.6667,5.8333,6.1111,0.5,0.3333,confirmed,confirmed,medium,
718061,2023-05-23T22:40:00Z,2023,Tampa Bay Rays,Toronto Blue Jays,671737,621244,Taj Bradley,José Berríos,4,9,5,5,6,8,13,43,2.0,2.6667,3.25,4.7778,0.75,0.4444,confirmed,confirmed,medium,
718058,2023-05-23T23:05:00Z,2023,New York Yankees,Baltimore Orioles,543037,680694,Gerrit Cole,Kyle Bradish,10,7,6,6,16,9,26,20,5.3333,3.0,2.6,2.8571,0.8,0.7143,confirmed,confirmed,medium,
718064,2023-05-23T23:05:00Z,2023,Washington Nationals,San Diego Padres,669022,506433,MacKenzie Gore,Yu Darvish,9,8,6,6,15,11,34,34,5.0,3.6667,3.7778,4.25,0.3333,0.375,confirmed,confirmed,medium,
718057,2023-05-23T23:20:00Z,2023,Atlanta Braves,Los Angeles Dodgers,675911,676272,Spencer Strider,Bobby Miller,9,0,5,,12,,32,,4.0,,3.5556,,0.8889,,confirmed,confirmed,low,Away starting pitcher has limited prior start history. | Away starting pitcher has no prior starts in the current season.
718049,2023-05-23T23:40:00Z,2023,Kansas City Royals,Detroit Tigers,594577,593958,Mike Mayers,Eduardo Rodriguez,0,9,,6,,8,,30,,2.6667,,3.3333,,0.4444,confirmed,confirmed,low,Home starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season.
718054,2023-05-23T23:40:00Z,2023,Minnesota Twins,San Francisco Giants,543243,502171,Sonny Gray,Alex Cobb,9,9,6,6,17,6,30,32,5.6667,2.0,3.3333,3.5556,0.5556,0.6667,confirmed,confirmed,medium,
718055,2023-05-23T23:40:00Z,2023,Chicago Cubs,New York Mets,592767,656731,Drew Smyly,Tylor Megill,9,9,5,5,11,9,28,29,3.6667,3.0,3.1111,3.2222,0.6667,0.6667,confirmed,confirmed,medium,
718056,2023-05-23T23:40:00Z,2023,Milwaukee Brewers,Houston Astros,607067,641585,Colin Rea,J.P. France,6,3,9,5,13,14,25,14,4.3333,4.6667,4.1667,4.6667,0.5,0.6667,confirmed,confirmed,medium,
718051,2023-05-24T00:40:00Z,2023,Colorado Rockies,Miami Marlins,596295,691587,Austin Gomber,Eury Pérez,9,2,7,6,14,10,47,10,4.6667,5.0,5.2222,5.0,0.4444,0.5,confirmed,confirmed,low,Away starting pitcher has limited prior start history.
718053,2023-05-24T01:38:00Z,2023,Los Angeles Angels,Boston Red Sox,656288,678394,Griffin Canning,Brayan Bello,6,6,7,7,15,10,23,27,5.0,3.3333,3.8333,4.5,0.5,0.8333,confirmed,confirmed,medium,
718050,2023-05-24T01:40:00Z,2023,Seattle Mariners,Oakland Athletics,594835,665622,Marco Gonzales,Luis Medina,8,3,7,7,19,20,43,20,6.3333,6.6667,5.375,6.6667,0.625,0.0,confirmed,confirmed,medium,
718045,2023-05-24T16:35:00Z,2023,Pittsburgh Pirates,Texas Rangers,670912,527048,Johan Oviedo,Martín Pérez,9,9,5,4,17,19,44,44,5.6667,6.3333,4.8889,4.8889,0.4444,0.6667,confirmed,confirmed,medium,
718043,2023-05-24T17:05:00Z,2023,Philadelphia Phillies,Arizona Diamondbacks,624133,668678,Ranger Suarez,Zac Gallen,2,10,5,5,14,17,14,37,7.0,5.6667,7.0,3.7,0.5,0.7,confirmed,confirmed,low,Home starting pitcher has limited prior start history.
718046,2023-05-24T17:10:00Z,2023,Milwaukee Brewers,Houston Astros,605288,656232,Adrian Houser,Brandon Bielak,3,3,5,4,7,7,7,7,2.3333,2.3333,2.3333,2.3333,0.6667,0.3333,confirmed,confirmed,medium,
718047,2023-05-24T17:10:00Z,2023,Minnesota Twins,San Francisco Giants,657746,543101,Joe Ryan,Anthony DeSclafani,9,9,4,4,8,15,29,36,2.6667,5.0,3.2222,4.0,0.6667,0.5556,confirmed,confirmed,medium,
718048,2023-05-24T17:10:00Z,2023,Cleveland Guardians,Chicago White Sox,615698,656629,Cal Quantrill,Michael Kopech,9,9,5,4,16,9,37,46,5.3333,3.0,4.1111,5.1111,0.6667,0.4444,confirmed,confirmed,medium,
718041,2023-05-24T22:40:00Z,2023,Cincinnati Reds,St. Louis Cardinals,594902,571927,Ben Lively,Steven Matz,1,9,5,4,6,14,6,48,6.0,4.6667,6.0,5.3333,0.0,0.2222,confirmed,confirmed,low,Home starting pitcher has limited prior start history.
718044,2023-05-24T22:40:00Z,2023,Tampa Bay Rays,Toronto Blue Jays,663556,579328,Shane McClanahan,Yusei Kikuchi,10,9,5,5,9,12,23,34,3.0,4.0,2.3,3.7778,0.9,0.7778,confirmed,confirmed,medium,
718040,2023-05-24T23:05:00Z,2023,New York Yankees,Baltimore Orioles,641482,669330,Nestor Cortes,Tyler Wells,9,8,6,6,12,9,44,27,4.0,3.0,4.8889,3.375,0.6667,0.625,confirmed,confirmed,medium,
718052,2023-05-24T23:05:00Z,2023,Washington Nationals,San Diego Padres,592866,677960,Trevor Williams,Ryan Weathers,10,4,6,10,9,8,45,12,3.0,2.6667,4.5,3.0,0.6,0.5,confirmed,confirmed,medium,
718042,2023-05-24T23:20:00Z,2023,Atlanta Braves,Los Angeles Dodgers,693821,664062,Bryce Elder,Tony Gonsolin,9,5,5,4,9,9,28,21,3.0,3.0,3.1111,4.2,0.7778,0.6,confirmed,confirmed,medium,
718038,2023-05-24T23:40:00Z,2023,Chicago Cubs,New York Mets,573186,673540,Marcus Stroman,Kodai Senga,10,8,5,7,20,12,37,29,6.6667,4.0,3.7,3.625,0.4,0.75,confirmed,confirmed,medium,
718039,2023-05-24T23:40:00Z,2023,Kansas City Royals,Detroit Tigers,425844,571510,Zack Greinke,Matthew Boyd,10,8,4,5,11,19,47,40,3.6667,6.3333,4.7,5.0,0.3,0.625,confirmed,confirmed,medium,
718036,2023-05-25T00:40:00Z,2023,Colorado Rockies,Miami Marlins,666154,645261,Karl Kauffmann,Sandy Alcantara,1,9,5,5,7,14,7,51,7.0,4.6667,7.0,5.6667,0.0,0.2222,confirmed,confirmed,low,Home starting pitcher has limited prior start history.
718034,2023-05-25T01:38:00Z,2023,Los Angeles Angels,Boston Red Sox,542881,572020,Tyler Anderson,James Paxton,8,2,7,5,13,9,40,9,4.3333,4.5,5.0,4.5,0.625,0.5,confirmed,confirmed,low,Away starting pitcher has limited prior start history.
718037,2023-05-25T01:40:00Z,2023,Seattle Mariners,Oakland Athletics,682243,686610,Bryce Miller,Ken Waldichuk,4,9,6,5,7,16,8,53,2.3333,5.3333,2.0,5.8889,0.75,0.5556,confirmed,confirmed,medium,
718030,2023-05-25T16:35:00Z,2023,Cincinnati Reds,St. Louis Cardinals,596133,571945,Luke Weaver,Miles Mikolas,6,10,5,5,16,7,34,43,5.3333,2.3333,5.6667,4.3,0.3333,0.6,confirmed,confirmed,medium,
718032,2023-05-25T17:10:00Z,2023,Tampa Bay Rays,Toronto Blue Jays,621107,666201,Zach Eflin,Alek Manoah,8,10,5,5,15,21,27,54,5.0,7.0,3.375,5.4,0.875,0.4,confirmed,confirmed,medium,
718033,2023-05-25T19:10:00Z,2023,Colorado Rockies,Miami Marlins,607536,666129,Kyle Freeland,Braxton Garrett,10,8,5,5,13,6,51,30,4.3333,2.0,5.1,3.75,0.4,0.75,confirmed,confirmed,medium,
718035,2023-05-25T20:05:00Z,2023,Washington Nationals,San Diego Padres,663623,605483,Jake Irvin,Blake Snell,4,9,6,5,17,12,18,48,5.6667,4.0,4.5,5.3333,0.5,0.1111,confirmed,confirmed,medium,
718031,2023-05-25T22:40:00Z,2023,Detroit Tigers,Chicago White Sox,656412,608337,Alex Faedo,Lucas Giolito,3,10,5,5,22,7,22,43,7.3333,2.3333,7.3333,4.3,0.0,0.3,confirmed,confirmed,medium,
718029,2023-05-25T23:05:00Z,2023,New York Yankees,Baltimore Orioles,657376,502043,Clarke Schmidt,Kyle Gibson,10,10,6,6,15,9,50,39,5.0,3.0,5.0,3.9,0.4,0.6,confirmed,confirmed,high,
718026,2023-05-25T23:20:00Z,2023,Atlanta Braves,Philadelphia Phillies,689266,605400,Dylan Dodd,Aaron Nola,3,10,21,5,14,11,14,51,4.6667,3.6667,4.6667,5.1,0.6667,0.5,confirmed,confirmed,medium,
718024,2023-05-25T23:40:00Z,2023,Chicago Cubs,New York Mets,543294,471911,Kyle Hendricks,Carlos Carrasco,0,4,,6,,18,,28,,6.0,,7.0,,0.5,confirmed,confirmed,low,Home starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season.
718028,2023-05-25T23:40:00Z,2023,Milwaukee Brewers,San Francisco Giants,527054,518397,Julio Teheran,Scott Alexander,0,0,,,,,,,,,,,,,confirmed,confirmed,missing,Home starting pitcher has limited prior start history. | Away starting pitcher has limited prior start history. | Home starting pitcher has no prior starts in the current season. | Away starting pitcher has no prior starts in the current season.
